# Photo,# Objects in the photo,# Objects Detected by Vision API,Average Confidence Percentage
Nicole 1,1,1,0.8488708735
Nicole 2,2,1,0.8038753867
Nicole 3,3,2,0.8871366978
Nicole 4,4,2,0.8607129753
Nicole 5,5,3,0.7426774899
Nicole 6,6,3,0.6435225606
Nicole 7,7,5,0.7621621847
Nicole 8,8,5,0.8547497511
Nicole 9,9,7,0.8094022019
Nicole 10,10,7,0.8221972925
Nicole 11,11,7,0.7659172331
Nicole 12,12,7,0.7656649266
Nicole 13,13,6,0.7417624096
Nicole 14,14,6,0.7374667923
Emily 1,1,1,0.8148442507
Emily 2,2,2,0.8218831122
Emily 3,3,2,0.7228027284
Emily 4,4,2,0.6361151338
Emily 5,5,2,0.8014543355
Emily 6,6,3,0.789158086
Emily 7,7,3,0.7470490138
Emily 8,8,4,0.6856280565
Emily 9,9,3,
Emily 10,10,5,
Emily 11,11,5,
Emily 12,12,5,
Emily 13,13,6,
Emily 14,14,5,
